NeuronID,Criterion,ActualCount,Thresh99_9,PassSignif,Fidelity,PassFidelity,NumTrials,WinningWindowStart_ms,WinningWindowEnd_ms,LatencyInWindow_ms
0,6ms_fixed,0,0,0,0,0,209,0,6,NaN
1,6ms_fixed,12,36,0,0.057,0,209,0,6,NaN
2,6ms_fixed,0,0,0,0,0,209,0,6,NaN
3,6ms_fixed,27,63,0,0.124,1,209,0,6,NaN
4,6ms_fixed,0,0,0,0,0,209,0,6,NaN
5,6ms_fixed,2,8,0,0.01,0,209,0,6,NaN
6,6ms_fixed,0,0,0,0,0,209,0,6,NaN
7,6ms_fixed,0,0,0,0,0,209,0,6,NaN
8,6ms_fixed,0,0,0,0,0,209,0,6,NaN
9,6ms_fixed,36,39,0,0.163,1,209,0,6,NaN
10,6ms_fixed,1,5,0,0.005,0,209,0,6,NaN
11,6ms_fixed,0,0,0,0,0,209,0,6,NaN
12,6ms_fixed,0,2,0,0,0,209,0,6,NaN
13,6ms_fixed,1,12,0,0.005,0,209,0,6,NaN
14,6ms_fixed,1,5,0,0.005,0,209,0,6,NaN
15,6ms_fixed,4,23,0,0.019,0,209,0,6,NaN
16,6ms_fixed,0,0,0,0,0,209,0,6,NaN
17,6ms_fixed,0,0,0,0,0,209,0,6,NaN
18,6ms_fixed,13,27,0,0.062,0,209,0,6,NaN
19,6ms_fixed,0,0,0,0,0,209,0,6,NaN
20,6ms_fixed,0,0,0,0,0,209,0,6,NaN
21,6ms_fixed,0,0,0,0,0,209,0,6,NaN
22,6ms_fixed,0,4,0,0,0,209,0,6,NaN
23,6ms_fixed,12,28,0,0.057,0,209,0,6,NaN
24,6ms_fixed,0,0,0,0,0,209,0,6,NaN
25,6ms_fixed,0,0,0,0,0,209,0,6,NaN
26,6ms_fixed,0,3,0,0,0,209,0,6,NaN
27,6ms_fixed,0,0,0,0,0,209,0,6,NaN
28,6ms_fixed,11,38,0,0.053,0,209,0,6,NaN
29,6ms_fixed,23,44,0,0.11,1,209,0,6,NaN
30,6ms_fixed,19,43,0,0.091,0,209,0,6,NaN
31,6ms_fixed,4,15,0,0.019,0,209,0,6,NaN
32,6ms_fixed,4,15,0,0.019,0,209,0,6,NaN
33,6ms_fixed,1,8,0,0.005,0,209,0,6,NaN
34,6ms_fixed,16,35,0,0.077,0,209,0,6,NaN
35,6ms_fixed,15,35,0,0.072,0,209,0,6,NaN
36,6ms_fixed,0,4,0,0,0,209,0,6,NaN
37,6ms_fixed,1,4,0,0.005,0,209,0,6,NaN
38,6ms_fixed,33,74.5000000000018,0,0.158,1,209,0,6,NaN
39,6ms_fixed,0,3,0,0,0,209,0,6,NaN
40,6ms_fixed,0,0,0,0,0,209,0,6,NaN
41,6ms_fixed,8,37.5000000000018,0,0.038,0,209,0,6,NaN
42,6ms_fixed,0,0,0,0,0,209,0,6,NaN
43,6ms_fixed,105,47,1,0.474,1,209,0,6,NaN
